,0,1,2,3,4,5
0,1.106010247773384,1.0403684936799784,"['online', 16, 0.01, 0, 0.4]",random,sigmoid,110
1,1.1631405073916474,1.0263894864185856,"['online', 16, 0.01, 0, 0.8]",random,sigmoid,103
2,1.1905893763080773,1.067370522209145,"['online', 16, 0.01, 0, 0.2]",random,sigmoid,105
3,1.208827364576218,1.0386945687764735,"['online', 16, 0.01, 0, 0]",random,sigmoid,108
4,1.2516707140226002,1.1495708740122454,"['online', 16, 0.01, 0, 0.6]",random,sigmoid,102
5,3.131817296182284,1.7210003941396448,"['online', 16, 0.01, 0, 0.9]",random,sigmoid,101
6,3.3473563952013885,7.781694107324551,"['online', 16, 0.01, 0.001, 0.2]",random,sigmoid,102
7,3.3950572275542212,8.493904959549601,"['online', 16, 0.01, 0.001, 0.6]",random,sigmoid,101
8,3.415638730127964,8.09040297014661,"['online', 16, 0.01, 0.001, 0.4]",random,sigmoid,101
9,3.55124385858818,8.291554172756115,"['online', 16, 0.01, 0.001, 0]",random,sigmoid,102
10,3.5753349830271515,10.90984522514322,"['online', 16, 0.01, 0.001, 0.8]",random,sigmoid,102
11,6.2095391349442925,15.486975976999819,"['online', 16, 0.01, 0.001, 0.9]",random,sigmoid,101
12,7.343554286336123,32.86450027173894,"['online', 16, 0.01, 0.01, 0.2]",random,sigmoid,101
13,7.513365242001298,33.61302649859468,"['online', 16, 0.01, 0.01, 0.4]",random,sigmoid,102
14,7.655968219171509,32.67246287799769,"['online', 16, 0.01, 0.01, 0]",random,sigmoid,102
15,7.840401646039424,34.81815573851185,"['online', 16, 0.01, 0.01, 0.6]",random,sigmoid,102
16,8.682859518030908,41.152890589917575,"['online', 16, 0.01, 0.01, 0.8]",random,sigmoid,101
17,12.272639969794668,143.3769324536645,"['online', 16, 0.01, 0.1, 0.8]",random,sigmoid,101
18,14.58695218640188,141.50956894961695,"['online', 16, 0.01, 0.1, 0.4]",random,sigmoid,101
19,16.047127827055792,141.5449309973475,"['online', 16, 0.01, 0.1, 0.6]",random,sigmoid,101
20,16.14971923646347,140.68616175999986,"['online', 16, 0.01, 0.1, 0]",random,sigmoid,101
21,16.186982646121837,140.98502766366073,"['online', 16, 0.01, 0.1, 0.2]",random,sigmoid,103
22,16.25618086983682,144.85264767426773,"['online', 16, 0.01, 0.1, 0.9]",random,sigmoid,101
23,17.024550036772737,50.444603566111255,"['online', 16, 0.01, 0.01, 0.9]",random,sigmoid,101
24,17.59983360807751,212.3868196711142,"['online', 16, 0.01, 1, 0.9]",random,sigmoid,101
25,18.277716818313678,213.01228452209727,"['online', 16, 0.01, 1, 0.4]",random,sigmoid,101
26,18.656638750209467,212.71843959272726,"['online', 16, 0.01, 1, 0.2]",random,sigmoid,103
27,19.404586315664346,212.93178839512512,"['online', 16, 0.01, 1, 0.6]",random,sigmoid,101
28,19.49430839336487,212.88206998125884,"['online', 16, 0.01, 1, 0.8]",random,sigmoid,102
29,3.4337100290212625e+152,2.814012514183414e+303,"['online', 16, 0.01, 1, 0]",random,sigmoid,8
