,0,1,2,3,4,5
0,1.1673896146532126,1.0603812455932102,"['online', 14, 0.01, 0, 0.6]",random,sigmoid,104
1,1.2017363334307747,1.1018902293158388,"['online', 14, 0.01, 0, 0.2]",random,sigmoid,108
2,1.2020364920908182,1.0986715938646376,"['online', 14, 0.01, 0, 0.4]",random,sigmoid,107
3,1.2231106454580125,1.132403316181857,"['online', 14, 0.01, 0, 0]",random,sigmoid,107
4,1.2718860770367963,1.0787359407290322,"['online', 14, 0.01, 0, 0.8]",random,sigmoid,102
5,1.307788888823274,1.3941822473118852,"['online', 14, 0.01, 0, 0.9]",random,sigmoid,104
6,3.408207799233118,7.944980300359841,"['online', 14, 0.01, 0.001, 0]",random,sigmoid,102
7,3.478444913125338,8.233737389494534,"['online', 14, 0.01, 0.001, 0.2]",random,sigmoid,101
8,3.5278366550545033,11.369787614596689,"['online', 14, 0.01, 0.001, 0.8]",random,sigmoid,101
9,3.6698426554423507,8.843779825859976,"['online', 14, 0.01, 0.001, 0.6]",random,sigmoid,102
10,3.736116105651237,8.2193588392855,"['online', 14, 0.01, 0.001, 0.4]",random,sigmoid,101
11,4.249003787362449,15.250834319804225,"['online', 14, 0.01, 0.001, 0.9]",random,sigmoid,103
12,7.308186568751778,33.99487546049535,"['online', 14, 0.01, 0.01, 0.2]",random,sigmoid,101
13,7.631599892515183,36.13728569071178,"['online', 14, 0.01, 0.01, 0.6]",random,sigmoid,101
14,8.411737540850288,40.25875807407342,"['online', 14, 0.01, 0.01, 0.8]",random,sigmoid,101
15,8.464581289292521,33.42408414539721,"['online', 14, 0.01, 0.01, 0]",random,sigmoid,102
16,8.536293320003068,34.50603844048751,"['online', 14, 0.01, 0.01, 0.4]",random,sigmoid,102
17,10.424280701471568,49.38910612670701,"['online', 14, 0.01, 0.01, 0.9]",random,sigmoid,101
18,13.782517557947832,151.97563818227985,"['online', 14, 0.01, 0.1, 0.9]",random,sigmoid,102
19,14.374020781852801,145.66263473682366,"['online', 14, 0.01, 0.1, 0.2]",random,sigmoid,102
20,15.394023221693251,145.38418490835656,"['online', 14, 0.01, 0.1, 0]",random,sigmoid,102
21,15.899412972877261,145.68219488008046,"['online', 14, 0.01, 0.1, 0.4]",random,sigmoid,102
22,16.727836128280273,146.12444331260363,"['online', 14, 0.01, 0.1, 0.6]",random,sigmoid,101
23,17.185291771182584,148.5270999560467,"['online', 14, 0.01, 0.1, 0.8]",random,sigmoid,102
24,18.513726324893113,213.3523069397348,"['online', 14, 0.01, 1, 0.9]",random,sigmoid,102
25,18.85027312663839,213.89010028910505,"['online', 14, 0.01, 1, 0.8]",random,sigmoid,102
26,19.144253922914707,213.43200529217677,"['online', 14, 0.01, 1, 0.6]",random,sigmoid,103
27,19.325746717117056,213.79898530461514,"['online', 14, 0.01, 1, 0.2]",random,sigmoid,101
28,19.431883892725697,213.54342620808188,"['online', 14, 0.01, 1, 0.4]",random,sigmoid,102
29,1.0675623420806198e+150,9.688454988404154e+297,"['online', 14, 0.01, 1, 0]",random,sigmoid,9
